id;numbViddilenya;address;timeWork;denTuznyaKoluPruhodutKlient;chasKoluPruhodutKlient;kgVanatznist;dniTuznyaRobotu;kilkistPratsivnukiv
1;1;address - 1;8;1;17;10;5;2
2;1;address - 1;8;4;15;13;5;2
3;1;address - 1;8;4;9;12;5;2
4;1;address - 1;8;5;9;6;5;2
5;1;address - 1;8;4;10;19;5;2
6;1;address - 1;8;1;9;29;5;2
7;1;address - 1;8;1;17;26;5;2
8;1;address - 1;8;5;17;5;5;2
9;1;address - 1;8;1;17;26;5;2
10;1;address - 1;8;1;17;1;5;2
11;1;address - 1;8;4;17;30;5;2
12;1;address - 1;8;5;10;21;5;2
13;1;address - 1;8;1;11;28;5;2
14;1;address - 1;8;5;17;18;5;2
15;1;address - 1;8;4;11;13;5;2
16;1;address - 1;8;1;17;15;5;2
17;1;address - 1;8;4;17;5;5;2
18;1;address - 1;8;1;18;4;5;2
19;1;address - 1;8;1;10;8;5;2
20;1;address - 1;8;5;9;26;5;2
21;1;address - 1;8;4;17;10;5;2
22;1;address - 1;8;1;9;18;5;2
23;1;address - 1;8;5;17;2;5;2
24;1;address - 1;8;1;17;13;5;2
25;1;address - 1;8;1;15;26;5;2
26;1;address - 1;8;5;17;13;5;2
27;1;address - 1;8;4;17;27;5;2
28;1;address - 1;8;4;18;14;5;2
29;1;address - 1;8;5;18;18;5;2
30;1;address - 1;8;5;15;21;5;2
31;1;address - 1;8;5;15;13;5;2
32;1;address - 1;8;5;18;19;5;2
33;1;address - 1;8;5;9;25;5;2
34;1;address - 1;8;4;9;23;5;2
35;1;address - 1;8;5;15;21;5;2
36;1;address - 1;8;1;9;7;5;2
37;1;address - 1;8;1;11;13;5;2
38;1;address - 1;8;4;10;20;5;2
39;1;address - 1;8;4;9;10;5;2
40;1;address - 1;8;5;11;28;5;2
41;1;address - 1;8;1;17;22;5;2
42;1;address - 1;8;1;9;25;5;2
43;1;address - 1;8;4;9;12;5;2
44;1;address - 1;8;5;15;28;5;2
45;1;address - 1;8;5;9;18;5;2
46;1;address - 1;8;1;17;7;5;2
47;1;address - 1;8;1;17;16;5;2
48;1;address - 1;8;1;18;30;5;2
49;1;address - 1;8;1;9;10;5;2
50;1;address - 1;8;4;11;11;5;2
51;1;address - 1;8;1;18;23;5;2
52;1;address - 1;8;1;9;10;5;2
53;1;address - 1;8;1;10;25;5;2
54;1;address - 1;8;1;15;6;5;2
55;1;address - 1;8;1;17;22;5;2
56;1;address - 1;8;5;10;19;5;2
57;1;address - 1;8;1;10;12;5;2
58;1;address - 1;8;1;17;5;5;2
59;1;address - 1;8;1;10;15;5;2
60;1;address - 1;8;1;9;4;5;2
61;1;address - 1;8;1;9;28;5;2
62;1;address - 1;8;1;10;8;5;2
63;1;address - 1;8;5;17;21;5;2
64;1;address - 1;8;4;9;17;5;2
65;1;address - 1;8;4;9;21;5;2
66;1;address - 1;8;4;10;29;5;2
67;1;address - 1;8;1;9;12;5;2
68;1;address - 1;8;1;9;4;5;2
69;1;address - 1;8;4;15;18;5;2
70;1;address - 1;8;1;17;6;5;2
71;1;address - 1;8;1;9;6;5;2
72;1;address - 1;8;1;9;17;5;2
73;1;address - 1;8;5;9;28;5;2
74;1;address - 1;8;1;17;15;5;2
75;1;address - 1;8;1;9;6;5;2
76;1;address - 1;8;1;10;2;5;2
77;1;address - 1;8;4;17;18;5;2
78;1;address - 1;8;5;9;23;5;2
79;1;address - 1;8;5;9;29;5;2
80;1;address - 1;8;5;11;11;5;2
81;1;address - 1;8;1;15;27;5;2
82;1;address - 1;8;1;9;15;5;2
83;1;address - 1;8;5;9;19;5;2
84;1;address - 1;8;1;9;20;5;2
85;1;address - 1;8;5;17;21;5;2
86;1;address - 1;8;1;15;21;5;2
87;1;address - 1;8;1;9;23;5;2
88;1;address - 1;8;4;9;21;5;2
89;1;address - 1;8;4;17;10;5;2
90;1;address - 1;8;5;9;23;5;2
91;1;address - 1;8;4;15;14;5;2
92;1;address - 1;8;4;17;21;5;2
93;1;address - 1;8;5;18;19;5;2
94;1;address - 1;8;5;9;22;5;2
95;1;address - 1;8;4;11;10;5;2
96;1;address - 1;8;1;17;11;5;2
97;1;address - 1;8;4;17;29;5;2
98;1;address - 1;8;4;15;1;5;2
99;1;address - 1;8;5;9;14;5;2
100;1;address - 1;8;5;11;27;5;2
101;1;address - 1;8;4;9;4;5;2
102;1;address - 1;8;1;9;19;5;2
103;1;address - 1;8;5;15;13;5;2
104;1;address - 1;8;5;15;2;5;2
105;1;address - 1;8;1;9;16;5;2
106;1;address - 1;8;4;10;1;5;2
107;1;address - 1;8;5;17;10;5;2
108;1;address - 1;8;5;9;2;5;2
109;1;address - 1;8;4;17;30;5;2
110;1;address - 1;8;1;10;5;5;2
111;1;address - 1;8;1;9;24;5;2
112;1;address - 1;8;4;9;18;5;2
113;1;address - 1;8;1;11;25;5;2
114;1;address - 1;8;1;9;16;5;2
115;1;address - 1;8;1;18;26;5;2
116;1;address - 1;8;5;10;26;5;2
117;1;address - 1;8;1;17;28;5;2
118;1;address - 1;8;5;15;2;5;2
119;1;address - 1;8;1;9;5;5;2
120;1;address - 1;8;1;9;20;5;2
121;1;address - 1;8;1;18;18;5;2
122;1;address - 1;8;1;18;8;5;2
123;1;address - 1;8;1;17;24;5;2
124;1;address - 1;8;5;18;4;5;2
125;1;address - 1;8;4;10;21;5;2
126;1;address - 1;8;5;15;2;5;2
127;1;address - 1;8;1;10;10;5;2
128;1;address - 1;8;5;15;1;5;2
129;1;address - 1;8;1;15;17;5;2
130;1;address - 1;8;1;10;29;5;2
131;1;address - 1;8;4;15;27;5;2
132;1;address - 1;8;4;17;17;5;2
133;1;address - 1;8;1;15;2;5;2
134;1;address - 1;8;5;17;28;5;2
135;1;address - 1;8;1;9;1;5;2
136;1;address - 1;8;1;17;14;5;2
137;1;address - 1;8;1;17;15;5;2
138;1;address - 1;8;5;11;13;5;2
139;1;address - 1;8;1;17;26;5;2
140;1;address - 1;8;1;17;28;5;2
141;1;address - 1;8;5;10;23;5;2
142;1;address - 1;8;5;17;13;5;2
143;1;address - 1;8;1;18;30;5;2
144;1;address - 1;8;5;9;21;5;2
145;1;address - 1;8;1;10;5;5;2
146;1;address - 1;8;4;10;12;5;2
147;1;address - 1;8;5;10;15;5;2
148;1;address - 1;8;4;15;29;5;2
149;1;address - 1;8;4;10;16;5;2
150;1;address - 1;8;1;17;9;5;2
151;1;address - 1;8;5;17;29;5;2
152;1;address - 1;8;1;9;15;5;2
153;1;address - 1;8;4;17;8;5;2
154;1;address - 1;8;5;15;18;5;2
155;1;address - 1;8;5;10;16;5;2
156;1;address - 1;8;1;10;13;5;2
157;1;address - 1;8;5;17;5;5;2
158;1;address - 1;8;5;15;8;5;2
159;1;address - 1;8;4;9;22;5;2
160;1;address - 1;8;4;15;17;5;2
161;1;address - 1;8;1;17;18;5;2
162;1;address - 1;8;1;9;24;5;2
163;1;address - 1;8;5;9;21;5;2
164;1;address - 1;8;1;9;3;5;2
165;1;address - 1;8;5;11;11;5;2
166;1;address - 1;8;5;18;4;5;2
167;1;address - 1;8;1;9;30;5;2
168;1;address - 1;8;1;15;22;5;2
169;1;address - 1;8;1;9;26;5;2
170;1;address - 1;8;4;11;22;5;2
171;1;address - 1;8;4;15;23;5;2
172;1;address - 1;8;5;17;20;5;2
173;1;address - 1;8;1;15;27;5;2
174;1;address - 1;8;5;9;18;5;2
175;1;address - 1;8;5;17;17;5;2
176;1;address - 1;8;4;9;20;5;2
177;1;address - 1;8;1;9;26;5;2
178;1;address - 1;8;4;17;5;5;2
179;1;address - 1;8;5;17;15;5;2
180;1;address - 1;8;5;11;28;5;2
181;1;address - 1;8;4;17;16;5;2
182;1;address - 1;8;1;11;12;5;2
183;1;address - 1;8;1;9;4;5;2
184;1;address - 1;8;1;9;6;5;2
185;1;address - 1;8;1;9;9;5;2
186;1;address - 1;8;1;10;25;5;2
187;1;address - 1;8;5;18;18;5;2
188;1;address - 1;8;5;10;19;5;2
189;1;address - 1;8;1;9;30;5;2
190;1;address - 1;8;1;15;11;5;2
191;1;address - 1;8;5;17;15;5;2
192;1;address - 1;8;5;9;30;5;2
193;1;address - 1;8;5;9;29;5;2
194;1;address - 1;8;1;17;15;5;2
195;1;address - 1;8;1;17;26;5;2
196;1;address - 1;8;5;17;15;5;2
197;1;address - 1;8;1;10;1;5;2
198;1;address - 1;8;5;11;5;5;2
199;1;address - 1;8;5;17;11;5;2
200;1;address - 1;8;1;9;26;5;2
201;1;address - 1;8;5;17;18;5;2
202;1;address - 1;8;5;10;27;5;2
203;1;address - 1;8;4;10;1;5;2
204;1;address - 1;8;5;17;9;5;2
205;1;address - 1;8;5;17;13;5;2
206;1;address - 1;8;1;15;18;5;2
207;1;address - 1;8;1;11;15;5;2
208;1;address - 1;8;1;10;16;5;2
209;1;address - 1;8;1;11;28;5;2
210;1;address - 1;8;4;9;24;5;2
211;1;address - 1;8;1;9;26;5;2
212;1;address - 1;8;4;17;24;5;2
213;1;address - 1;8;1;18;27;5;2
214;1;address - 1;8;1;17;12;5;2
215;1;address - 1;8;1;17;20;5;2
216;1;address - 1;8;5;10;23;5;2
217;1;address - 1;8;1;17;21;5;2
218;1;address - 1;8;4;9;28;5;2
219;1;address - 1;8;5;10;2;5;2
220;1;address - 1;8;1;17;21;5;2
221;1;address - 1;8;5;15;6;5;2
222;1;address - 1;8;4;9;10;5;2
223;1;address - 1;8;5;17;19;5;2
224;1;address - 1;8;1;10;9;5;2
225;1;address - 1;8;5;10;21;5;2
226;1;address - 1;8;5;15;2;5;2
227;1;address - 1;8;1;18;13;5;2
228;1;address - 1;8;5;11;24;5;2
229;1;address - 1;8;1;9;3;5;2
230;1;address - 1;8;5;11;3;5;2
231;1;address - 1;8;4;15;3;5;2
232;1;address - 1;8;4;10;26;5;2
233;1;address - 1;8;1;10;20;5;2
234;1;address - 1;8;5;17;28;5;2
235;1;address - 1;8;5;18;21;5;2
236;1;address - 1;8;1;9;24;5;2
237;1;address - 1;8;5;10;10;5;2
238;1;address - 1;8;4;17;15;5;2
239;1;address - 1;8;5;17;25;5;2
240;1;address - 1;8;5;17;8;5;2
241;1;address - 1;8;5;11;11;5;2
242;1;address - 1;8;1;18;9;5;2
243;1;address - 1;8;5;17;18;5;2
244;1;address - 1;8;1;17;15;5;2
245;1;address - 1;8;4;9;19;5;2
246;1;address - 1;8;5;9;8;5;2
247;1;address - 1;8;1;10;18;5;2
248;1;address - 1;8;1;15;6;5;2
249;1;address - 1;8;5;9;15;5;2
250;1;address - 1;8;5;17;27;5;2
251;1;address - 1;8;5;15;27;5;2
252;1;address - 1;8;5;15;19;5;2
253;1;address - 1;8;4;11;24;5;2
254;1;address - 1;8;5;10;5;5;2
255;1;address - 1;8;1;10;4;5;2
256;1;address - 1;8;4;17;14;5;2
257;1;address - 1;8;5;9;25;5;2
258;1;address - 1;8;5;17;15;5;2
259;1;address - 1;8;5;17;11;5;2
260;1;address - 1;8;4;9;28;5;2
261;1;address - 1;8;1;10;16;5;2
262;1;address - 1;8;1;10;27;5;2
263;1;address - 1;8;5;17;6;5;2
264;1;address - 1;8;5;15;23;5;2
265;1;address - 1;8;1;17;5;5;2
266;1;address - 1;8;5;17;25;5;2
267;1;address - 1;8;4;11;22;5;2
268;1;address - 1;8;5;18;5;5;2
269;1;address - 1;8;5;17;18;5;2
270;1;address - 1;8;1;18;8;5;2
271;1;address - 1;8;1;17;16;5;2
272;1;address - 1;8;1;11;26;5;2
273;1;address - 1;8;1;15;5;5;2
274;1;address - 1;8;1;9;20;5;2
275;1;address - 1;8;5;10;22;5;2
276;1;address - 1;8;5;18;3;5;2
277;1;address - 1;8;5;9;22;5;2
278;1;address - 1;8;1;15;30;5;2
279;1;address - 1;8;1;17;27;5;2
280;1;address - 1;8;1;11;16;5;2
281;1;address - 1;8;1;9;20;5;2
282;1;address - 1;8;4;15;23;5;2
283;1;address - 1;8;5;17;4;5;2
284;1;address - 1;8;4;11;13;5;2
285;1;address - 1;8;5;11;22;5;2
286;1;address - 1;8;4;15;26;5;2
287;1;address - 1;8;5;17;1;5;2
288;1;address - 1;8;4;11;15;5;2
289;1;address - 1;8;5;10;10;5;2
290;1;address - 1;8;5;9;25;5;2
291;1;address - 1;8;4;11;20;5;2
292;1;address - 1;8;5;17;29;5;2
293;1;address - 1;8;4;11;10;5;2
294;1;address - 1;8;1;17;18;5;2
